id,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
oDRZt37ROqadlK3-VI0PfQ,Alimama,indian,4.5,1100,89A Bayard St,10013,40.7158626896215,-73.9992850858479,False,15/10/2020 23:37:46
MDMw0HFK3rgeGRl-FZC9Fg,Banh Mi Saigon,indian,4,1474,198 Grand St,10013,40.7192950325997,-73.9967160153442,False,15/10/2020 23:37:46
gUJ6pHYd_fp2Ypq377P_vA,Williamsburg Smorgasburg - Saturday,indian,4.5,1121,90 Kent Ave,11211,40.721021,-73.962177,False,15/10/2020 23:37:46
O1fUmxt3kbV-rnyjBtzAfw,THEP Thai Restaurant,indian,4.5,1186,1439 2nd Ave,10021,40.77078,-73.95727,False,15/10/2020 23:37:46
Q9F2ocrmYuGt1yn3M7MOBw,Lucali,indian,4.5,1587,575 Henry St,11231,40.6818,-74.00024,False,15/10/2020 23:37:46
ryvBsB9FrBBZDak87iGS1w,The Sea Fire Grill,indian,4.5,1278,158 E 48th St,10017,40.7547012104496,-73.972255513072,False,15/10/2020 23:37:46
sSQ3dtC8nbfeT6srFiiIlA,Stumptown Coffee Roasters,indian,4.5,1398,20 W 29th St,10001,40.7456663381275,-73.9880916348562,False,15/10/2020 23:37:46
LQHegfNHe7ylY3bocrFlpg,Calle Dao - Bryant Park,indian,4,1765,38 W 39th St,10018,40.7522888979927,-73.9841403450024,False,15/10/2020 23:37:46
CVxz9B5ncpMwVK1bk_c1YA,Veselka,indian,4,2600,144 2nd Ave,10003,40.7289505004883,-73.9869689941406,False,15/10/2020 23:37:46
j9TdOBSQ1LRw8v3hW5fObQ,Pies-n-Thighs,indian,4,2919,166 S 4th St,11211,40.711191,-73.961424,False,15/10/2020 23:37:46
5QgBCrAbXbM1ORiqZDrBPQ,Cha-An,indian,4,1794,230 E 9th St,10003,40.72947,-73.98813,False,15/10/2020 23:37:46
RemvTpxalDjSew5HwmNzUQ,The Dead Rabbit,indian,4,1568,30 Water St,10004,40.70329,-74.01102,False,15/10/2020 23:37:46
HfJhenvKDi-ds8SUJFwrLg,Momofuku Noodle Bar,indian,3.5,4264,171 1st Ave,10003,40.7292063820076,-73.9844848239426,False,15/10/2020 23:37:46
LvzN8TrUGJRj_UkJV0cAtQ,Empanada Mama - Hell's Kitchen,indian,4,2486,765 9th Ave,10019,40.76441,-73.9885,False,15/10/2020 23:37:46
Xf6e3HaP0AgMBxY7dEDkOA,99 Favor Taste,indian,4,1862,285 Grand St,10002,40.7176199,-73.99249,False,15/10/2020 23:37:46
OFfZUS-nu6NDnsWe1B2bUQ,TONCHIN NEW YORK,indian,4.5,1214,13 W 36th St,10018,40.7502727,-73.9844951,False,15/10/2020 23:37:46
cCesIqo-LQt0cRlZAnrAZQ,Friedman's,indian,4,2470,132 W 31st St,10001,40.748297,-73.990649,False,15/10/2020 23:37:46
Lbs8QBRN1U7IYBo5Mcv-RQ,88 Lan Zhou Handmade Noodle,indian,4,1835,40 Bowery St,10013,40.715504,-73.996752,False,15/10/2020 23:37:46
wB45aXh2cQlRWoKQzhWgeA,Statue of Liberty,indian,4.5,1029,1 Liberty Island,10004,40.689264,-74.0445004,False,15/10/2020 23:37:46
kxykwx5qTWBhlMh18MQ82Q,Luke's Lobster FiDi,indian,4.5,1159,26 S William St,10004,40.7046213003984,-74.0107793876969,False,15/10/2020 23:37:46
1z5Nu66M6W8mk5Ap4osZwA,The NoMad Restaurant,indian,4,1476,1170 Broadway,10001,40.7449,-73.988482,False,15/10/2020 23:37:46
pb_ryc8FYHpUPV56eV2Eyg,Brooklyn Bagel & Coffee Company,indian,4,1451,286 8th Ave,10001,40.746183,-73.997642,False,15/10/2020 23:37:46
4KHjnRNvrkKHchEznhlnSA,Sweet Chick,indian,4,2015,164 Bedford Ave,11211,40.718371,-73.95733,False,15/10/2020 23:37:46
jAaVnUKLITkuhzwXIe0vLQ,Cafe Mogador,indian,4.5,1172,133 Wythe Ave,11211,40.719747,-73.959993,False,15/10/2020 23:37:46
HjZvV6WAdsusCRlY0iSxYg,il laboratorio del gelato,indian,4,1312,188 Ludlow St,10002,40.7222353582629,-73.9870632693115,False,15/10/2020 23:37:46
riGhXci7Xo-Gp9gtl5IBYA,Brooklyn Bridge Park,indian,4.5,520,334 Furman St,11201,40.7016262778116,-73.9972114562988,False,15/10/2020 23:37:46
6Guo-aozyLnQFtAuP8ZXZg,Queens Comfort,indian,4,2126,3618 30th Ave,11103,40.764527,-73.91694,False,15/10/2020 23:37:46
8F81LrdFm6P5kkFpsw0n0w,Sweet Chick,indian,4,1651,178 Ludlow St,10002,40.7217399,-73.98739,False,15/10/2020 23:37:46
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,indian,4,1772,251 W 72nd St,10023,40.779583,-73.983482,False,15/10/2020 23:37:46
OwV-MtDBC2H08rVcBqP2mA,Pio Pio 8,indian,4,2338,604 10th Ave,10036,40.760506289326,-73.994564488901,False,15/10/2020 23:37:46
zfiXI8AwYBRfWjPyv6oh3w,The Lobster Place,indian,4,1321,75 9th Ave,10011,40.7427413905213,-74.0060118057704,False,15/10/2020 23:37:46
6Ct7OeTRn4caY9g0swFBsw,La Contenta,indian,4.5,756,102 Norfolk St,10002,40.71873,-73.98691,False,15/10/2020 23:37:46
f8TZ_ctcSwxwW8S69YKnwg,Il Bambino,indian,4.5,1231,34-08 31st Ave,11106,40.76281,-73.92089,False,15/10/2020 23:37:46
